Name,Mean Views,Mean Likes,Mean Comments,Release Date,price,Positive Reviews,Category,Name_Cleaned,Total Streams18,Total Viewers18,Clip Count,Clip Views,Clip Duration,Total Streams19,Total Viewers19,Streamer Count,Total Followers,Total Streams23,Total Viewers23,Avg followers,Avg clip views,Avg clip duration,Total Streams11,Total Viewers11
rFactor 2,298218,8711,317,28/03/2013,24.99,0.8,racing,rFactor 2,1,2,994,1109599,27925,1,1,102,10326,0,0,101,1116,28,0,0
Trailmakers,3358483,75570,3895,18/09/2019,19.49,0.94,racing,Trailmakers,3,5,999,34071,27657,2,1,121,139,3,4,1,34,27,3,4
Trackmania,16725980,147123,3329,02/02/2023,0,0.77,racing,Trackmania,53,5393,1097,10035268,37704,46,3134,396,38474,32,3222,97,9147,34,23,414
EA SPORTS™ WRC,296488,5645,601,02/11/2023,39.99,0.62,racing,EA SPORTS WRC,18,163,1097,142616,27376,24,118,0,0,27,99,0,130,24,13,17
The Crew Motorfest,1386543,28861,576,18/04/2024,59.99,0.81,racing,The Crew Motorfest,0,0,0,0,0,0,0,18,88,0,0,4,0,0,0,0
Descenders,12022470,122032,2582,07/05/2019,19.49,0.94,racing,Descenders,5,2,998,65238,24035,6,4,378,812,11,10,2,65,24,5,5
Aerofly FS 4 Flight Simulator - Aircraft AddOn,229758,3054,167,04/07/2022,29.99,0.86,racing,Aerofly FS 4 Flight Simulator - Aircraft AddOn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liftoff®: Micro Drones,89051,1483,142,30/11/2021,15.99,1,racing,Liftoff: Micro Drones,0,0,22,272,568,0,0,0,0,1,1,0,12,25,0,0
KartKraft™,86114,820,42,01/11/2018,20.99,0.64,racing,KartKraft,0,0,975,9679,28789,0,0,351,1322,0,0,3,9,29,0,0
Forza Motorsport,1566194,47628,1399,09/10/2023,59.99,0.59,racing,Forza Motorsport,16,75,1000,218563,28222,16,90,73,424,16,64,5,218,28,5,28
Disney Speedstorm,410376,4284,305,18/04/2023,0,0.68,racing,Disney Speedstorm,12,57,1000,82947,26978,11,74,2,22,16,105,11,82,26,6,29
Marbles on Stream,2226694,48998,893,28/03/2018,0,0.92,racing,Marbles on Stream,48,2101,997,790362,26035,48,4190,65,73,58,1949,1,792,26,31,879
CarX Street,1627043,50999,559,29/08/2024,14.99,0.59,racing,CarX Street,3,6,1000,24909,26611,4,9,66,223,6,15,3,24,26,4,16
MotoGP™24,123925,1368,82,02/05/2024,44.99,0.76,racing,MotoGP24,0,0,0,0,0,0,0,290,284,0,0,0,0,0,0,0
Alaskan Road Truckers,253320,7213,274,18/10/2023,5.67,0.5,racing,Alaskan Road Truckers,3,19,959,16778,26970,3,18,0,0,2,2,0,17,28,0,0
Mon Bazou,659619,18846,715,16/12/2021,13.49,0.96,racing,Mon Bazou,1,8,1082,347475,28110,2,10,41,152,2,6,3,321,25,1,147
DiRT Rally 2.0,2195530,35037,1579,25/02/2019,17.99,0.9,racing,DiRT Rally 2.0,6,16,984,195852,25695,9,9,0,0,9,18,0,199,26,10,12
City Car Driving,10050309,60665,1473,03/11/2016,20.51,0.82,racing,City Car Driving,3,3,947,498309,23212,3,22,5,16,1,38,3,526,24,4,1695
Sonic Adventure DX,3856662,39215,3262,04/03/2011,5.99,0.92,racing,Sonic Adventure DX,6,18,999,127928,27628,9,38,2,0,11,1233,0,128,27,3,11
Wreckfest,2930995,45975,1311,14/06/2018,26.74,0.89,racing,Wreckfest,12,94,990,834621,24085,14,74,594,17044,19,164,28,843,24,4,15
Need for Speed™ Unbound,1820444,41094,3170,01/12/2022,59.99,0.57,racing,Need for Speed Unbound,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonic & All-Stars Racing Transformed Collection,2322002,7503,667,31/01/2013,14.99,0.85,racing,Sonic & All-Stars Racing Transformed Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uncrashed : FPV Drone Simulator,206636,6494,159,01/09/2021,10.99,0.95,racing,Uncrashed : FPV Drone Simulator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Automobilista 2 - IMSA Track Pack,6513,280,32,29/11/2024,12.99,0.9,racing,Automobilista 2 - IMSA Track Pack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Counter-Strike 2,5874250,244818,2986,21/08/2012,0,0.82,multiplayer,Counter-Strike 2,0,0,0,0,0,0,0,188,543,0,0,2,0,0,0,0
Marvel Rivals,2940090,199475,3271,05/12/2024,0,0.81,multiplayer,Marvel Rivals,4049,120424,1100,2978966,28945,4315,134278,440,215645,5623,126875,490,2708,26,2085,57989
